Event;Gender;Date;Time;Athlete;Country;Meet;City;Nation
400m individual medley;Women;27/06/1958;5:46.6;RUUSKA, Sylvia;USA;;Los Angeles, California;USA
400m individual medley;Women;01/08/1958;5:43.7;RUUSKA, Sylvia;USA;;Topeka, Kansas;USA
400m individual medley;Women;24/02/1959;5:41.1;RUUSKA, Sylvia;USA;;Melbourne, Victoria;AUS
400m individual medley;Women;17/07/1959;5:40.2;RUUSKA, Sylvia;USA;;Redding, California;USA
400m individual medley;Women;15/07/1960;5:36.5;DE VARONA, Donna;USA;;Indianapolis, Indiana;USA
400m individual medley;Women;11/08/1961;5:34.5;DE VARONA, Donna;USA;;Philadelphia, Pennsylvania;USA
400m individual medley;Women;02/06/1962;5:29.7;DE VARONA, Donna;USA;;Los Altos, California;USA
400m individual medley;Women;26/07/1962;5:27.4;FINNERAN, Sharon;USA;;Osaka;JPN
400m individual medley;Women;26/07/1962;5:24.7;DE VARONA, Donna;USA;;Osaka;JPN
400m individual medley;Women;28/07/1962;5:21.9;FINNERAN, Sharon;USA;;Osaka;JPN
400m individual medley;Women;10/03/1964;5:16.5;DE VARONA, Donna;USA;;Lima;PER
400m individual medley;Women;30/08/1964;5:14.9;DE VARONA, Donna;USA;;New York, New York;USA
400m individual medley;Women;09/07/1967;5:11.7;KOLB, Claudia;USA;Santa Clara Invitational;Santa Clara, California;USA
400m individual medley;Women;01/08/1967;5:09.7;KOLB, Claudia;USA;Pan American Games;Winnipeg, Manitoba;CAN
400m individual medley;Women;19/08/1967;5:08.2;KOLB, Claudia;USA;AAU Championships;Philadelphia, Pennsylvania;USA
400m individual medley;Women;24/08/1968;5:04.7;KOLB, Claudia;USA;USA Olympic Trials;Long Beach, California;USA
400m individual medley;Women;09/07/1972;5:02.97;NEALL, Gail;AUS;;München, Bavaria;FRG
400m individual medley;Women;18/08/1973;5:01.10;FRANKE, Angela;GDR;;Utrecht;NED
400m individual medley;Women;06/09/1973;4:57.511;WEGNER, Gudrun;GDR;World Championships;Beograd (Belgrade);YUG
400m individual medley;Women;21/08/1974;4:52.42;TAUBER, Ulrike;GDR;European Championships;Wien (Vienna);AUT
400m individual medley;Women;07/06/1975;4:52.20;TAUBER, Ulrike;GDR;;Wittenberg;FRG
400m individual medley;Women;01/06/1976;4:48.79;TREIBER, Birgit;GDR;GDR Olympic Trials;Berlin;GDR
400m individual medley;Women;24/07/1976;4:42.77;TAUBER, Ulrike;GDR;Olympic Games;Montréal, Québec;CAN
400m individual medley;Women;23/08/1978;4:40.83;CAULKINS, Tracy;USA;World Championships;Berlin;FRG
400m individual medley;Women;30/03/1980;4:39.96;SCHNEIDER, Petra;GDR;;Leningrad;URS
400m individual medley;Women;27/05/1980;4:38.44;SCHNEIDER, Petra;GDR;;Magdeburg, Magdeburg;GDR
400m individual medley;Women;26/07/1980;4:36.29;SCHNEIDER, Petra;GDR;Olympic Games;Moskva (Moscow);URS
400m individual medley;Women;01/08/1982;4:36.10;SCHNEIDER, Petra;GDR;World Championships;Guayaquil;ECU
400m individual medley;Women;13/10/1997;4:34.79;CHEN, Yan;CHN;China's National Games;Shanghai;CHN
400m individual medley;Women;16/09/2000;4:33.59;KLOCHKOVA, Yana;UKR;Olympic Games;Sydney, New South Wales;AUS
400m individual medley;Women;01/04/2007;4:32.89;HOFF, Katie;USA;World Championships;Melbourne, Victoria;AUS
400m individual medley;Women;22/03/2008;4:31.46;RICE, Stephanie;AUS;Australia Championships;Sydney, New South Wales;AUS
400m individual medley;Women;29/06/2008;4:31.12;HOFF, Katie;USA;USA Olympic Trials;Omaha, Nebraska;USA
400m individual medley;Women;10/08/2008;4:29.45;RICE, Stephanie;AUS;Olympic Games;Beijing;CHN
400m individual medley;Women;28/07/2012;4:28.43;YE, Shiwen;CHN;Olympic Games;London, Greater London, England;GBR
400m individual medley;Women;06/08/2016;4:26.36;HOSSZU, Katinka;HUN;Olympic Games;Rio de Janeiro;BRA
400m individual medley;Women;01/04/2023;4:25.87;MCINTOSH, Summer;CAN;Canadian World Championship Trials;Toronto;CAN
400m individual medley;Women;16/05/2024;4:24.38;MCINTOSH, Summer;CAN;Canadian Olympic Trials;Toronto;CAN
4x100m freestyle;Women;15/07/1912;5:52.8;MOORE, Isabella;GBR;Olympic Games;Stockholm;SWE
4x100m freestyle;Women;15/07/1912;5:52.8;FLETCHER, Jennie;GBR;Olympic Games;Stockholm;SWE
4x100m freestyle;Women;15/07/1912;5:52.8;SPEIRS, Annie;GBR;Olympic Games;Stockholm;SWE
4x100m freestyle;Women;15/07/1912;5:52.8;STEER, Irene;GBR;Olympic Games;Stockholm;SWE
4x100m freestyle;Women;29/08/1920;5:11.6;WOODBRIDGE, Margaret;USA;Olympic Games;Antwerpen;BEL
4x100m freestyle;Women;29/08/1920;5:11.6;SCHROTH, Frances;USA;Olympic Games;Antwerpen;BEL
4x100m freestyle;Women;29/08/1920;5:11.6;GUEST, Irene;USA;Olympic Games;Antwerpen;BEL
4x100m freestyle;Women;29/08/1920;5:11.6;BLEIBTREY, Ethelda;USA;Olympic Games;Antwerpen;BEL
4x100m freestyle;Women;20/07/1924;4:58.8;EDERLE, Gertrude;USA;Olympic Games;Paris;FRA
4x100m freestyle;Women;20/07/1924;4:58.8;DONNELLY, Euphrasia;USA;Olympic Games;Paris;FRA
4x100m freestyle;Women;20/07/1924;4:58.8;LACKIE, Ethel;USA;Olympic Games;Paris;FRA
4x100m freestyle;Women;20/07/1924;4:58.8;WEHSELAU, Mariechen;USA;Olympic Games;Paris;FRA
4x100m freestyle;Women;09/08/1928;4:55.6;LAMBERT, Adelaide;USA;Olympic Games;Amsterdam;NED
4x100m freestyle;Women;09/08/1928;4:55.6;MCKIM, Josephine;USA;Olympic Games;Amsterdam;NED
4x100m freestyle;Women;09/08/1928;4:55.6;LAIRD, Susan;USA;Olympic Games;Amsterdam;NED
4x100m freestyle;Women;09/08/1928;4:55.6;OSIPOWICH, Albina;USA;Olympic Games;Amsterdam;NED
4x100m freestyle;Women;09/08/1928;4:47.6;LAMBERT, Adelaide;USA;Olympic Games;Amsterdam;NED
4x100m freestyle;Women;09/08/1928;4:47.6;GARATTI, Eleanor;USA;Olympic Games;Amsterdam;NED
4x100m freestyle;Women;09/08/1928;4:47.6;OSIPOWICH, Albina;USA;Olympic Games;Amsterdam;NED
4x100m freestyle;Women;09/08/1928;4:47.6;NORELIUS, Martha;USA;Olympic Games;Amsterdam;NED
4x100m freestyle;Women;12/08/1932;4:38.0;MCKIM, Josephine;USA;Olympic Games;Los Angeles, California;USA
4x100m freestyle;Women;12/08/1932;4:38.0;JOHNS, Helen;USA;Olympic Games;Los Angeles, California;USA
4x100m freestyle;Women;12/08/1932;4:38.0;GARATTI, Eleanor;USA;Olympic Games;Los Angeles, California;USA
4x100m freestyle;Women;12/08/1932;4:38.0;MADISON, Helene;USA;Olympic Games;Los Angeles, California;USA
4x100m freestyle;Women;14/04/1934;4:33.3;SELBACH, Jopie;NED;;Rotterdam;NED
4x100m freestyle;Women;14/04/1934;4:33.3;TIMMERMANS, Annie;NED;;Rotterdam;NED
4x100m freestyle;Women;14/04/1934;4:33.3;MASTENBROEK, Rie;NED;;Rotterdam;NED
4x100m freestyle;Women;14/04/1934;4:33.3;DEN OUDEN, Willy;NED;;Rotterdam;NED
4x100m freestyle;Women;24/05/1936;4:32.8;SELBACH, Jopie;NED;;Rotterdam;NED
4x100m freestyle;Women;24/05/1936;4:32.8;MASTENBROEK, Rie;NED;;Rotterdam;NED
4x100m freestyle;Women;24/05/1936;4:32.8;WAGNER, Catherina;NED;;Rotterdam;NED
4x100m freestyle;Women;24/05/1936;4:32.8;DEN OUDEN, Willy;NED;;Rotterdam;NED
4x100m freestyle;Women;08/02/1938;4:29.7;SVENDSEN, Elvi;DEN;;København (Copenhagen);DEN
4x100m freestyle;Women;08/02/1938;4:29.7;KRAFT, Gunvor;DEN;;København (Copenhagen);DEN
4x100m freestyle;Women;08/02/1938;4:29.7;OVE-PETERSEN, Birte;DEN;;København (Copenhagen);DEN
4x100m freestyle;Women;08/02/1938;4:29.7;HVEGER ANDERSEN, Ragnhild;DEN;;København (Copenhagen);DEN
4x100m freestyle;Women;07/08/1938;4:27.6;RIISE, Eva;DEN;;København (Copenhagen);DEN
4x100m freestyle;Women;07/08/1938;4:27.6;KRAFT, Gunvor;DEN;;København (Copenhagen);DEN
4x100m freestyle;Women;07/08/1938;4:27.6;OVE-PETERSEN, Birte;DEN;;København (Copenhagen);DEN
4x100m freestyle;Women;07/08/1938;4:27.6;HVEGER ANDERSEN, Ragnhild;DEN;;København (Copenhagen);DEN
4x100m freestyle;Women;27/04/1952;4:27.2;LITTOMERITZKY, Maria;HUN;;Moskva (Moscow);URS
4x100m freestyle;Women;27/04/1952;4:27.2;NOVAK, Eva;HUN;;Moskva (Moscow);URS
4x100m freestyle;Women;27/04/1952;4:27.2;SZEKELY, Eva;HUN;;Moskva (Moscow);URS
4x100m freestyle;Women;27/04/1952;4:27.2;SZOKE, Katalin;HUN;;Moskva (Moscow);URS
4x100m freestyle;Women;01/08/1952;4:24.4;NOVAK, Ilona;HUN;Olympic Games;Helsinki;FIN
4x100m freestyle;Women;01/08/1952;4:24.4;TEMES, Judit;HUN;Olympic Games;Helsinki;FIN
4x100m freestyle;Women;01/08/1952;4:24.4;NOVAK, Eva;HUN;Olympic Games;Helsinki;FIN
4x100m freestyle;Women;01/08/1952;4:24.4;SZOKE, Katalin;HUN;Olympic Games;Helsinki;FIN
4x100m freestyle;Women;20/10/1956;4:22.3;CRAPP, Lorraine;AUS;Australian Olympic Squad Swimming Carnival;Sydney, New South Wales;AUS
4x100m freestyle;Women;20/10/1956;4:22.3;FRASER, Dawn;AUS;Australian Olympic Squad Swimming Carnival;Sydney, New South Wales;AUS
4x100m freestyle;Women;20/10/1956;4:22.3;GIBSON, Margaret;AUS;Australian Olympic Squad Swimming Carnival;Sydney, New South Wales;AUS
4x100m freestyle;Women;20/10/1956;4:22.3;JACKSON, Barbara;AUS;Australian Olympic Squad Swimming Carnival;Sydney, New South Wales;AUS
4x100m freestyle;Women;25/10/1956;4:19.7;CRAPP, Lorraine;AUS;Australian Olympic Trials;Melbourne, Victoria;AUS
4x100m freestyle;Women;25/10/1956;4:19.7;FRASER, Dawn;AUS;Australian Olympic Trials;Melbourne, Victoria;AUS
4x100m freestyle;Women;25/10/1956;4:19.7;LEECH, Faith;AUS;Australian Olympic Trials;Melbourne, Victoria;AUS
4x100m freestyle;Women;25/10/1956;4:19.7;GIBSON, Margaret;AUS;Australian Olympic Trials;Melbourne, Victoria;AUS
4x100m freestyle;Women;06/12/1956;4:17.1;FRASER, Dawn;AUS;Olympic Games;Melbourne, Victoria;AUS
4x100m freestyle;Women;06/12/1956;4:17.1;LEECH, Faith;AUS;Olympic Games;Melbourne, Victoria;AUS
4x100m freestyle;Women;06/12/1956;4:17.1;MORGAN, Sandra;AUS;Olympic Games;Melbourne, Victoria;AUS
4x100m freestyle;Women;06/12/1956;4:17.1;CRAPP, Lorraine;AUS;Olympic Games;Melbourne, Victoria;AUS
4x100m freestyle;Women;06/08/1960;4:16.2;FRASER, Dawn;AUS;;Townsville, Queensland;AUS
4x100m freestyle;Women;06/08/1960;4:16.2;COLQUHOUN, Alva;AUS;;Townsville, Queensland;AUS
4x100m freestyle;Women;06/08/1960;4:16.2;KONRADS, Ilsa;AUS;;Townsville, Queensland;AUS
4x100m freestyle;Women;06/08/1960;4:16.2;CRAPP, Lorraine;AUS;;Townsville, Queensland;AUS
4x100m freestyle;Women;03/09/1960;4:08.9;SPILLANE, Joan;USA;Olympic Games;Roma, Lazio;ITA
4x100m freestyle;Women;03/09/1960;4:08.9;STOBS, Shirley;USA;Olympic Games;Roma, Lazio;ITA
4x100m freestyle;Women;03/09/1960;4:08.9;WOOD, Carolyn;USA;Olympic Games;Roma, Lazio;ITA
4x100m freestyle;Women;03/09/1960;4:08.9;VON SALTZA, Chris;USA;Olympic Games;Roma, Lazio;ITA
4x100m freestyle;Women;31/07/1964;4:08.5;STICKLES, Terri Lee;USA;USA Summer Nationals;Los Altos, California;USA
4x100m freestyle;Women;31/07/1964;4:08.5;DE VARONA, Donna;USA;USA Summer Nationals;Los Altos, California;USA
4x100m freestyle;Women;31/07/1964;4:08.5;WATSON, Lillian Debra;USA;USA Summer Nationals;Los Altos, California;USA
4x100m freestyle;Women;31/07/1964;4:08.5;HAROUN, Judy;USA;USA Summer Nationals;Los Altos, California;USA
4x100m freestyle;Women;28/09/1964;4:07.6;ALLSUP, Lynne;USA;Pre-Olympic Meet;Los Angeles, California;USA
4x100m freestyle;Women;28/09/1964;4:07.6;STICKLES, Terri Lee;USA;Pre-Olympic Meet;Los Angeles, California;USA
4x100m freestyle;Women;28/09/1964;4:07.6;SEIDEL, Kathleen;USA;Pre-Olympic Meet;Los Angeles, California;USA
4x100m freestyle;Women;28/09/1964;4:07.6;BRICKER, Eleanor;USA;Pre-Olympic Meet;Los Angeles, California;USA
4x100m freestyle;Women;15/10/1964;4:03.8;STOUDER, Sharon;USA;Olympic Games;Tokyo;JPN
4x100m freestyle;Women;15/10/1964;4:03.8;DE VARONA, Donna;USA;Olympic Games;Tokyo;JPN
4x100m freestyle;Women;15/10/1964;4:03.8;WATSON, Lillian Debra;USA;Olympic Games;Tokyo;JPN
4x100m freestyle;Women;15/10/1964;4:03.8;ELLIS, Kathleen;USA;Olympic Games;Tokyo;JPN
4x100m freestyle;Women;19/08/1967;4:03.5;GUSTAVSON, Linda;USA;AAU Championships;Philadelphia, Pennsylvania;USA
4x100m freestyle;Women;19/08/1967;4:03.5;RYAN, Nancy;USA;AAU Championships;Philadelphia, Pennsylvania;USA
4x100m freestyle;Women;19/08/1967;4:03.5;FRITZ, Laura;USA;AAU Championships;Philadelphia, Pennsylvania;USA
4x100m freestyle;Women;19/08/1967;4:03.5;WATSON, Lillian Debra;USA;AAU Championships;Philadelphia, Pennsylvania;USA
4x100m freestyle;Women;06/07/1968;4:01.1;GUSTAVSON, Linda;USA;Santa Clara Invitational;Santa Clara, California;USA
4x100m freestyle;Women;06/07/1968;4:01.1;WATSON, Lillian Debra;USA;Santa Clara Invitational;Santa Clara, California;USA
4x100m freestyle;Women;06/07/1968;4:01.1;CARPINELLI, Pam;USA;Santa Clara Invitational;Santa Clara, California;USA
4x100m freestyle;Women;06/07/1968;4:01.1;HENNE, Jan;USA;Santa Clara Invitational;Santa Clara, California;USA
4x100m freestyle;Women;11/09/1970;4:00.8;WETZKO, Gabriele;GDR;European Championships;Barcelona;ESP
4x100m freestyle;Women;11/09/1970;4:00.8;KOMAR, Iris;GDR;European Championships;Barcelona;ESP
4x100m freestyle;Women;11/09/1970;4:00.8;SEHMISCH, Elke;GDR;European Championships;Barcelona;ESP
4x100m freestyle;Women;11/09/1970;4:00.8;SCHULZE, Sabine;GDR;European Championships;Barcelona;ESP
4x100m freestyle;Women;09/09/1971;4:00.7;BABASHOFF, Shirley;USA;USA v URS v GBR Tri-Meet;Minsk, Belorussia;URS
4x100m freestyle;Women;09/09/1971;4:00.7;PEYTON, Kim;USA;USA v URS v GBR Tri-Meet;Minsk, Belorussia;URS
4x100m freestyle;Women;09/09/1971;4:00.7;JOHNSON, Linda;USA;USA v URS v GBR Tri-Meet;Minsk, Belorussia;URS
4x100m freestyle;Women;09/09/1971;4:00.7;DEARDURFF, Deena;USA;USA v URS v GBR Tri-Meet;Minsk, Belorussia;URS
4x100m freestyle;Women;18/08/1972;3:58.11;PEYTON, Kim;USA;Pre-Olympic Meet;Knoxville, Tennessee;USA
4x100m freestyle;Women;18/08/1972;3:58.11;NEILSON, Sandra;USA;Pre-Olympic Meet;Knoxville, Tennessee;USA
4x100m freestyle;Women;18/08/1972;3:58.11;BARKMAN, Jane;USA;Pre-Olympic Meet;Knoxville, Tennessee;USA
4x100m freestyle;Women;18/08/1972;3:58.11;BABASHOFF, Shirley;USA;Pre-Olympic Meet;Knoxville, Tennessee;USA
4x100m freestyle;Women;30/08/1972;3:58.11;EIFE, Andrea;GDR;Olympic Games;München, Bavaria;FRG
4x100m freestyle;Women;30/08/1972;3:58.11;EICHNER, Sylvia;GDR;Olympic Games;München, Bavaria;FRG
4x100m freestyle;Women;30/08/1972;3:58.11;SEHMISCH, Elke;GDR;Olympic Games;München, Bavaria;FRG
4x100m freestyle;Women;30/08/1972;3:58.11;ENDER, Kornelia;GDR;Olympic Games;München, Bavaria;FRG
4x100m freestyle;Women;30/08/1972;3:55.19;NEILSON, Sandra;USA;Olympic Games;München, Bavaria;FRG
4x100m freestyle;Women;30/08/1972;3:55.19;KEMP, Jennifer;USA;Olympic Games;München, Bavaria;FRG
4x100m freestyle;Women;30/08/1972;3:55.19;BARKMAN, Jane;USA;Olympic Games;München, Bavaria;FRG
4x100m freestyle;Women;30/08/1972;3:55.19;BABASHOFF, Shirley;USA;Olympic Games;München, Bavaria;FRG
4x100m freestyle;Women;08/09/1973;3:52.452;ENDER, Kornelia;GDR;World Championships;Beograd (Belgrade);YUG
4x100m freestyle;Women;08/09/1973;3:52.452;EIFE, Andrea;GDR;World Championships;Beograd (Belgrade);YUG
4x100m freestyle;Women;08/09/1973;3:52.452;HUBNER, Andrea;GDR;World Championships;Beograd (Belgrade);YUG
4x100m freestyle;Women;08/09/1973;3:52.452;EICHNER, Sylvia;GDR;World Championships;Beograd (Belgrade);YUG
4x100m freestyle;Women;31/08/1974;3:51.99;MARSHALL, Ann;USA;USA v GDR Dual Meet;Concord, California;USA
4x100m freestyle;Women;31/08/1974;3:51.99;PEYTON, Kim;USA;USA v GDR Dual Meet;Concord, California;USA
4x100m freestyle;Women;31/08/1974;3:51.99;HEDDY, Kathy;USA;USA v GDR Dual Meet;Concord, California;USA
4x100m freestyle;Women;31/08/1974;3:51.99;BABASHOFF, Shirley;USA;USA v GDR Dual Meet;Concord, California;USA
4x100m freestyle;Women;26/07/1975;3:49.37;ENDER, Kornelia;GDR;World Championships;Cali;COL
4x100m freestyle;Women;26/07/1975;3:49.37;KRAUSE, Barbara;GDR;World Championships;Cali;COL
4x100m freestyle;Women;26/07/1975;3:49.37;HEMPEL, Claudia;GDR;World Championships;Cali;COL
4x100m freestyle;Women;26/07/1975;3:49.37;BRUCKNER, Ute;GDR;World Championships;Cali;COL
4x100m freestyle;Women;02/06/1976;3:48.80;KOTHER-GABRIEL, Rosemarie;GDR;GDR Olympic Trials;Berlin;GDR
4x100m freestyle;Women;02/06/1976;3:48.80;POLLACK, Andrea;GDR;GDR Olympic Trials;Berlin;GDR
4x100m freestyle;Women;02/06/1976;3:48.80;SELTMANN, Monika;GDR;GDR Olympic Trials;Berlin;GDR
4x100m freestyle;Women;02/06/1976;3:48.80;KRAUSE, Barbara;GDR;GDR Olympic Trials;Berlin;GDR
4x100m freestyle;Women;25/07/1976;3:44.82;PEYTON, Kim;USA;Olympic Games;Montréal, Québec;CAN
4x100m freestyle;Women;25/07/1976;3:44.82;BOGLIOLI, Wendy;USA;Olympic Games;Montréal, Québec;CAN
4x100m freestyle;Women;25/07/1976;3:44.82;STERKEL, Jill;USA;Olympic Games;Montréal, Québec;CAN
4x100m freestyle;Women;25/07/1976;3:44.82;BABASHOFF, Shirley;USA;Olympic Games;Montréal, Québec;CAN
4x100m freestyle;Women;26/08/1978;3:43.43;CAULKINS, Tracy;USA;World Championships;Berlin;FRG
4x100m freestyle;Women;26/08/1978;3:43.43;ELKINS, Stephanie;USA;World Championships;Berlin;FRG
4x100m freestyle;Women;26/08/1978;3:43.43;STERKEL, Jill;USA;World Championships;Berlin;FRG
4x100m freestyle;Women;26/08/1978;3:43.43;WOODHEAD, Cynthia;USA;World Championships;Berlin;FRG
4x100m freestyle;Women;27/07/1980;3:42.71;KRAUSE, Barbara;GDR;Olympic Games;Moskva (Moscow);URS
4x100m freestyle;Women;27/07/1980;3:42.71;METSCHUCK, Caren;GDR;Olympic Games;Moskva (Moscow);URS
4x100m freestyle;Women;27/07/1980;3:42.71;DIERS, Ines;GDR;Olympic Games;Moskva (Moscow);URS
4x100m freestyle;Women;27/07/1980;3:42.71;HULSENBECK, Sarina;GDR;Olympic Games;Moskva (Moscow);URS
4x100m freestyle;Women;21/08/1984;3:42.41;MEINEKE-HEUKRODT, Birgit;GDR;Friendship Games;Moskva (Moscow);URS
4x100m freestyle;Women;21/08/1984;3:42.41;OTTO, Kristin;GDR;Friendship Games;Moskva (Moscow);URS
4x100m freestyle;Women;21/08/1984;3:42.41;KONIG, Karen;GDR;Friendship Games;Moskva (Moscow);URS
4x100m freestyle;Women;21/08/1984;3:42.41;FRIEDRICH, Heike;GDR;Friendship Games;Moskva (Moscow);URS
4x100m freestyle;Women;19/08/1986;3:40.57;OTTO, Kristin;GDR;World Championships;Madrid;ESP
4x100m freestyle;Women;19/08/1986;3:40.57;STELLMACH, Manuela;GDR;World Championships;Madrid;ESP
4x100m freestyle;Women;19/08/1986;3:40.57;SCHULZE, Sabine;GDR;World Championships;Madrid;ESP
4x100m freestyle;Women;19/08/1986;3:40.57;FRIEDRICH, Heike;GDR;World Championships;Madrid;ESP
4x100m freestyle;Women;28/07/1992;3:39.46;HAISLETT, Nicole;USA;Olympic Games;Barcelona;ESP
4x100m freestyle;Women;28/07/1992;3:39.46;TORRES, Dara;USA;Olympic Games;Barcelona;ESP
4x100m freestyle;Women;28/07/1992;3:39.46;MARTINO, Angel;USA;Olympic Games;Barcelona;ESP
4x100m freestyle;Women;28/07/1992;3:39.46;THOMPSON, Jenny;USA;Olympic Games;Barcelona;ESP
4x100m freestyle;Women;07/09/1994;3:37.91;LE, Jingyi;CHN;World Championships;Roma, Lazio;ITA
4x100m freestyle;Women;07/09/1994;3:37.91;SHAN, Ying;CHN;World Championships;Roma, Lazio;ITA
4x100m freestyle;Women;07/09/1994;3:37.91;LE, Ying;CHN;World Championships;Roma, Lazio;ITA
4x100m freestyle;Women;07/09/1994;3:37.91;LU, Bin;CHN;World Championships;Roma, Lazio;ITA
4x100m freestyle;Women;16/09/2000;3:36.61;VAN DYKEN, Amy;USA;Olympic Games;Sydney, New South Wales;AUS
4x100m freestyle;Women;16/09/2000;3:36.61;TORRES, Dara;USA;Olympic Games;Sydney, New South Wales;AUS
4x100m freestyle;Women;16/09/2000;3:36.61;SHEALY, Courtney;USA;Olympic Games;Sydney, New South Wales;AUS
4x100m freestyle;Women;16/09/2000;3:36.61;THOMPSON, Jenny;USA;Olympic Games;Sydney, New South Wales;AUS
4x100m freestyle;Women;29/07/2002;3:36.00;MEISSNER, Katrin;GER;European Championships;Berlin;GER
4x100m freestyle;Women;29/07/2002;3:36.00;DALLMANN, Petra;GER;European Championships;Berlin;GER
4x100m freestyle;Women;29/07/2002;3:36.00;VOLKER, Sandra;GER;European Championships;Berlin;GER
4x100m freestyle;Women;29/07/2002;3:36.00;VAN ALMSICK, Franziska;GER;European Championships;Berlin;GER
4x100m freestyle;Women;14/08/2004;3:35.94;MILLS, Alice;AUS;Olympic Games;Athina;GRE
4x100m freestyle;Women;14/08/2004;3:35.94;LENTON, Libby;AUS;Olympic Games;Athina;GRE
4x100m freestyle;Women;14/08/2004;3:35.94;THOMAS, Petria;AUS;Olympic Games;Athina;GRE
4x100m freestyle;Women;14/08/2004;3:35.94;HENRY, Jodie;AUS;Olympic Games;Athina;GRE
4x100m freestyle;Women;31/07/2006;3:35.22;DALLMANN, Petra;GER;European Championships;Budapest;HUN
4x100m freestyle;Women;31/07/2006;3:35.22;GOETZ, Daniela;GER;European Championships;Budapest;HUN
4x100m freestyle;Women;31/07/2006;3:35.22;STEFFEN, Britta;GER;European Championships;Budapest;HUN
4x100m freestyle;Women;31/07/2006;3:35.22;LIEBS, Annika;GER;European Championships;Budapest;HUN
4x100m freestyle;Women;18/03/2008;3:33.62;DEKKER, Inge;NED;European Championships;Eindhoven;NED
4x100m freestyle;Women;18/03/2008;3:33.62;KROMOWIDJOJO, Ranomi;NED;European Championships;Eindhoven;NED
4x100m freestyle;Women;18/03/2008;3:33.62;HEEMSKERK, Femke;NED;European Championships;Eindhoven;NED
4x100m freestyle;Women;18/03/2008;3:33.62;VELDHUIS, Marleen;NED;European Championships;Eindhoven;NED
4x100m freestyle;Women;26/07/2009;3:31.72;DEKKER, Inge;NED;World Championships;Roma, Lazio;ITA
4x100m freestyle;Women;26/07/2009;3:31.72;KROMOWIDJOJO, Ranomi;NED;World Championships;Roma, Lazio;ITA
4x100m freestyle;Women;26/07/2009;3:31.72;HEEMSKERK, Femke;NED;World Championships;Roma, Lazio;ITA
4x100m freestyle;Women;26/07/2009;3:31.72;VELDHUIS, Marleen;NED;World Championships;Roma, Lazio;ITA
4x100m freestyle;Women;24/07/2014;3:30.98;CAMPBELL, Bronte;AUS;Commonwealth Games;Glasgow, Scotland;GBR
4x100m freestyle;Women;24/07/2014;3:30.98;SCHLANGER, Melanie;AUS;Commonwealth Games;Glasgow, Scotland;GBR
4x100m freestyle;Women;24/07/2014;3:30.98;MCKEON, Emma;AUS;Commonwealth Games;Glasgow, Scotland;GBR
4x100m freestyle;Women;24/07/2014;3:30.98;CAMPBELL, Cate;AUS;Commonwealth Games;Glasgow, Scotland;GBR
4x100m freestyle;Women;08/08/2016;3:30.65;MCKEON, Emma;AUS;Olympic Games;Rio de Janeiro;BRA
4x100m freestyle;Women;08/08/2016;3:30.65;ELMSLIE, Brittany;AUS;Olympic Games;Rio de Janeiro;BRA
4x100m freestyle;Women;08/08/2016;3:30.65;CAMPBELL, Bronte;AUS;Olympic Games;Rio de Janeiro;BRA
4x100m freestyle;Women;08/08/2016;3:30.65;CAMPBELL, Cate;AUS;Olympic Games;Rio de Janeiro;BRA
4x100m freestyle;Women;05/04/2018;3:30.05;JACK, Shayna;AUS;Commonwealth Games;Gold Coast, Queensland;AUS
4x100m freestyle;Women;05/04/2018;3:30.05;CAMPBELL, Bronte;AUS;Commonwealth Games;Gold Coast, Queensland;AUS
4x100m freestyle;Women;05/04/2018;3:30.05;MCKEON, Emma;AUS;Commonwealth Games;Gold Coast, Queensland;AUS
4x100m freestyle;Women;05/04/2018;3:30.05;CAMPBELL, Cate;AUS;Commonwealth Games;Gold Coast, Queensland;AUS
4x100m freestyle;Women;25/07/2021;3:29.69;CAMPBELL, Bronte;AUS;Olympic Games;Tokyo;JPN
4x100m freestyle;Women;25/07/2021;3:29.69;HARRIS, Meg;AUS;Olympic Games;Tokyo;JPN
4x100m freestyle;Women;25/07/2021;3:29.69;MCKEON, Emma;AUS;Olympic Games;Tokyo;JPN
4x100m freestyle;Women;25/07/2021;3:29.69;CAMPBELL, Cate;AUS;Olympic Games;Tokyo;JPN
4x100m freestyle;Women;23/07/2023;3:27.96;O'CALLAGHAN, Mollie;AUS;World Championships;Fukuoka;JPN
4x100m freestyle;Women;23/07/2023;3:27.96;JACK, Shayna;AUS;World Championships;Fukuoka;JPN
4x100m freestyle;Women;23/07/2023;3:27.96;HARRIS, Meg;AUS;World Championships;Fukuoka;JPN
4x100m freestyle;Women;23/07/2023;3:27.96;MCKEON, Emma;AUS;World Championships;Fukuoka;JPN
4x200m freestyle;Women;30/11/1945;11:10.0;CURTIS, Sue;USA;AAU Championships;;USA
4x200m freestyle;Women;30/11/1945;11:10.0;MADDOCK, Donna;USA;AAU Championships;;USA
4x200m freestyle;Women;30/11/1945;11:10.0;SAHNER, Marilyn;USA;AAU Championships;;USA
4x200m freestyle;Women;30/11/1945;11:10.0;CURTIS, Ann;USA;AAU Championships;;USA
4x200m freestyle;Women;30/11/1946;11:02.6;MALLORY, Joan;USA;AAU Championships;;USA
4x200m freestyle;Women;30/11/1946;11:02.6;LEE HAYES, Margaret;USA;AAU Championships;;USA
4x200m freestyle;Women;30/11/1946;11:02.6;SAHNER, Marilyn;USA;AAU Championships;;USA
